,masterid,mastermag,egfid,egfmag,station_number,fcmaster
465,38458407,3.16,38462295,2.57,2,2.8547012988486524
466,38458407,3.16,37232420,2.55,1,4.780816516171228
467,38458407,3.16,38458231,2.52,1,5.721864365000328
468,38458407,3.16,38462631,2.47,1,6.817730113507167
469,38458407,3.16,38462183,2.46,1,5.30699070340523
470,38458407,3.16,38467967,2.38,1,1.9056481627915398
471,38458407,3.16,38461615,2.25,2,5.030091145642988
472,38458407,3.16,38462455,2.18,1,3.801293646014386
473,38458407,3.16,38466567,2.15,1,1.8673855686477034
474,38458407,3.16,37228612,2.12,1,8.11356574273859
475,38458407,3.16,38468639,2.11,2,4.921976624738427
476,38458407,3.16,38469863,2.11,2,4.733926765587449
477,38444791,3.15,38483311,2.47,5,9.662016253006506
478,38457975,3.15,38467927,2.5,5,2.0563037284942034
479,38457975,3.15,38481503,2.44,7,3.5289801745648597
480,38457975,3.15,37427565,2.38,1,20.085959740753967
481,38475007,3.15,38463407,2.21,3,6.609389092228208
482,38475007,3.15,38484967,2.16,1,5.449418560292042
483,38475007,3.15,38467439,2.09,1,11.72344198800899
484,38477319,3.15,38482527,2.03,4,19.30021509658612
485,38483983,3.15,38444783,2.65,19,40.32151860840506
486,38492831,3.15,38570351,2.5,7,6.792424713047535
487,38492831,3.15,38588999,2.24,6,5.324056508372695
488,38492831,3.15,38492375,2.19,4,8.633541148250542
489,38541847,3.15,37237428,2.55,3,30.94244372468241
